Keywords,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10
"Audio Post Production
Audio Editing
Podcast
Sound Mixing",Audio Post Production,Audio Editing,Podcast,Sound Mixing,,,,,,
"Pro Forma Statement
Financial Modeling
Financial Projection
Microsoft Excel
Financial Planning
Financial Analysis",Pro Forma Statement,Financial Modeling,Financial Projection,Microsoft Excel,Financial Planning,Financial Analysis,,,,
"Adobe Premiere Pro
Video Production
Photography
Videography
People
Video Editing
Video Post-Editing",Adobe Premiere Pro,Video Production,Photography,Videography,People,Video Editing,Video Post-Editing,,,
"Graphic Design
Social Media Imagery
YouTube",Graphic Design,Social Media Imagery,YouTube,,,,,,,
"Graphic Design
Adobe Illustrator
Adobe Photoshop
Infographic
Adobe InDesign",Graphic Design,Adobe Illustrator,Adobe Photoshop,Infographic,Adobe InDesign,,,,,
"Web Design
Squarespace
Web Development
WordPress
Graphic Design
Mockup
User Flow",Web Design,Squarespace,Web Development,WordPress,Graphic Design,Mockup,User Flow,,,
"Adobe Illustrator
Graphic Design
Adobe Photoshop
Illustration
Content Writing",Adobe Illustrator,Graphic Design,Adobe Photoshop,Illustration,Content Writing,,,,,
"Video Color Correction
Color Grading
DaVinci Resolve",Video Color Correction,Color Grading,DaVinci Resolve,,,,,,,
"CSS
Web Design
Adobe Photoshop
JavaScript
Squarespace
Adobe Illustrator
Canva
Adobe Premiere Pro",CSS,Web Design,Adobe Photoshop,JavaScript,Squarespace,Adobe Illustrator,Canva,Adobe Premiere Pro,,
"Shopify
Web Development
Web Design
Shopify Templates
WooCommerce",Shopify,Web Development,Web Design,Shopify Templates,WooCommerce,,,,,
"Graphic Design
Social Media Imagery
Facebook
TikTok Video",Graphic Design,Social Media Imagery,Facebook,TikTok Video,,,,,,
"Video Editing
Video Post-Editing
Audio Editing
Adobe Premiere Pro
Video Production",Video Editing,Video Post-Editing,Audio Editing,Adobe Premiere Pro,Video Production,,,,,
"Creative Writing
Screenwriting",Creative Writing,Screenwriting,,,,,,,,
"Data Entry
Administrative Support",Data Entry,Administrative Support,,,,,,,,
"Next.js
TypeScript
Tailwind CSS
JavaScript
React
Web Development",Next.js,TypeScript,Tailwind CSS,JavaScript,React,Web Development,,,,
"Graphic Design
Business Card
Adobe Illustrator
Adobe Photoshop
Print Design",Graphic Design,Business Card,Adobe Illustrator,Adobe Photoshop,Print Design,,,,,
"Civil Engineering
Engineering Design
Architectural Design
Drafting",Civil Engineering,Engineering Design,Architectural Design,Drafting,,,,,,
"Graphic Design
Sales & Marketing Collateral
Content Writing
Brochure
Copywriting",Graphic Design,Sales & Marketing Collateral,Content Writing,Brochure,Copywriting,,,,,
"Video Editing
Video Post-Editing
Adobe Premiere Pro
Adobe After Effects
Video Production",Video Editing,Video Post-Editing,Adobe Premiere Pro,Adobe After Effects,Video Production,,,,,
"Graphic Design
Adobe Illustrator
Layout Design
Adobe Photoshop
Adobe InDesign",Graphic Design,Adobe Illustrator,Layout Design,Adobe Photoshop,Adobe InDesign,,,,,
"Web Application
WordPress
Web Development
WooCommerce
JavaScript
HTML5
Web Design
HTML",Web Application,WordPress,Web Development,WooCommerce,JavaScript,HTML5,Web Design,HTML,,
